 ,Site,SiteID,PlantID,IsolateID
1,H,1,H1M1,H1M1R1
2,H,1,H1M2,H1M2R1
3,H,1,H1M2,H1M2R2
4,H,1,H1M2,H1M2R3
5,H,1,H1M3,H1M3R1
6,H,1,H1M4,H1M4R1
7,H,2,H2M2,H2M2R1
8,H,2,H2M2,H2M2R2
9,H,2,H2M3,H2M3R1
10,H,2,H2M3,H2M3R2
11,H,2,H2M4,H2M4R1
12,H,3,H3M1,H3M1R1
13,H,3,H3M2,H3M2R1
14,H,3,H3M3,H3M3R1
15,H,3,H3M3,H3M3R2
16,H,3,H3M3,H3M3R4
17,H,3,H3M4,H3M4R1
18,H,3,H3M4,H3M4R2
19,H,4,H4M1,H4M1R1
20,H,4,H4M1,H4M1R3
21,H,4,H4M2,H4M2R2
22,H,4,H4M4,H4M4R2
23,H,4,H4M5,H4M5R1
24,H,4,H4M5,H4M5R2
25,L,1,L1M1,L1M1R1
26,L,1,L1M1,L1M1R2
27,L,1,L1M1,L1M1R4
28,L,1,L1M2,L1M2R1
29,L,1,L1M2,L1M2R2
30,L,1,L1M2,L1M2R3
31,L,1,L1M2,L1M2R4
32,L,1,L1M3,L1M3R1
33,L,1,L1M3,L1M3R2
34,L,1,L1M4,L1M4R1
35,L,1,L1M4,L1M4R2
36,L,2,L2M1,L2M1R1
37,L,2,L2M2,L2M2R1
38,L,2,L2M2,L2M2R2
39,L,2,L2M3,L2M3R2
40,L,2,L2M4,L2M4R1
41,L,2,L2M4,L2M4R2
42,L,2,L2M4,L2M4R4
43,L,2,L2M5,L2M5R2
44,L,3,L3M1,L3M1R1
45,L,3,L3M2,L3M2R1
46,L,3,L3M2,L3M2R2
47,L,3,L3M3,L3M3R1
48,L,3,L3M4,L3M4R1
49,L,3,L3M4,L3M4R2
50,L,3,L3M4,L3M4R3
51,L,3,L3M5,L3M5R1
52,L,3,L3M5,L3M5R2
53,L,3,L3M6,L3M6R1
54,L,3,L3M6,L3M6R2
55,L,4,L4M1,L4M1R1
56,L,4,L4M1,L4M1R3
57,L,4,L4M2,L4M2R2
58,L,4,L4M3,L4M3R3
59,L,4,L4M4,L4M4R1
60,L,4,L4M4,L4M4R3
61,L,4,L4M5,L4M5R1
62,L,4,L4M5,L4M5R2
63,L,4,L4M5,L4M5R3
64,L,4,L4M5,L4M5R4
65,L,4,L4M7,L4M7R1
66,L,4,L4M7,L4M7R2
67,L,4,L4M8,L4M8R1
